1,1,百科事典です。調べ物をするのに使えるほか、暇つぶしに眺めるのも楽しいです。,true,2019-12-25 15:01:00
2,2,飲食店の情報が掲載されています。会社の飲み会の会場を探すのによく利用しています。,true,2020-01-26 15:02:00
3,3,Googleマップです。定期的にバーチャル旅行しています。エジプトのピラミッドを眺めるのがおすすめ。,true,2020-01-27 15:34:00
4,4,日数とかお金とか、いろいろな計算をやってくれる便利なサイト,true,2020-01-28 15:04:00
5,5,可愛い似顔絵が作成できます。SNSのアイコンを作成するのにおすすめ。,true,2020-01-29 15:14:00
6,6,女の子向けのかわいい画像素材を提供しているサイトです。とてもかわいい。,true,2020-01-30 15:06:00
7,7,データベーススペシャリスト試験の過去問がのってます。ユーザー登録すると学習履歴とか達成度とかを記録できるので便利です。基本情報とか、応用情報の過去問サイトもあります！,true,2020-01-31 15:32:00
8,8,CCNAとかオラクルマスター用の問題集を解くことができます。合格体験記が掲載されていて、合格した人の勉強法を参考にできるのがいいですね。,true,2020-01-01 15:08:00
9,9,タイピングの練習ができます。毎日やるとタイピング速くなりそう,true,2020-01-02 15:17:00
10,10,無料でいろんなオンライン講座を受講できます。おもしろそうな講座があったら受講登録してみましょう,true,2020-01-03 15:10:00
11,11,海外のサイトです。両親の年齢と住んでいる国、１年間に会う回数を記入すると、両親が亡くなるまでにあと何回会えるか計算してくれます。とても切ない気持ちになります。両親を大事にしようと思いました。。。,true,2021-01-04 15:12:00
12,12,IT勉強会の参加申し込みができます。余暇に1人で勉強するのがだるいときは、もくもく会に参加してみるのがおすすめ！,true,2021-01-05 15:56:00
13,13,ITとかデザイン、マーケティングなどに関するオンライン講座が販売されています。割引セールの時には９割引きとかになるので、欲しいけど高くて買えない講座があるときはセールを待つのも手。,true,2021-01-06 15:14:00
14,14,生放送でいろんな講義を受講できます。その場で質問に回答してもらえる場合もあり、とっても勉強になります。,true,2021-01-07 15:52:00
15,15,初心者向けのプログラミング学習サイトです。サイト上でプログラミングして学習できるので、環境構築をする必要がないのは初心者にとってはかなり助かります。月額会員制ですが、無料で進められる部分もあります。まずは無料プランで試してみてはいかがでしょう？,true,2021-01-08 15:16:00
16,16,翻訳サイトです。かなり精度が高いのでよく利用してます!,true,2021-01-09 15:42:00
17,17,エンジニアのための記事投稿サイト。他の人の投稿した記事を読んで知識をインプットしたり、自分で学習したことのアウトプットに使ったり。調べ物をしていてこのサイトに行き着くことも結構あります。,true,2021-01-10 15:18:00
18,18,IT関連の講座を視聴できます。１回のレッスンが短時間にまとめられているのでサクサク進められます。新しい講座がどんどん追加されていくので定期的にチェックしてます,true,2021-01-11 15:19:00
19,19,Webサイトに使用できるアイコンを提供しているサイトです。種類が豊富で重宝しています。,true,2021-01-12 15:20:00
20,20,いろんなジャンルの画像素材が公開されています。キーワード検索やタグ機能で探せるのが便利です。,true,2021-01-13 15:11:00
21,21,世界中の無料写真素材サイトの画像を一括で検索できるサイトです。いろんなサイトを巡回する必要がなくなるのでとってもラクチンです。,true,2021-01-14 15:22:00
1,22,家だと集中して作業できないときは気分転換にドトールで作業することがあります。割と値段は安い方なのではないでしょうか？,true,2021-01-15 15:25:00
2,23,ゆう遊空間の個室に籠もって作業するとけっこうはかどるのでおすすめです。wifiが設置されているので自分のPCを持ち込んで作業してます。ジュースも飲み放題！,true,2021-01-16 15:24:00
3,24,特別なツールを使用せずに画像透過できるのでめっちゃ便利…,true,2021-01-17 15:41:00
4,25,有名人やキャラクターを思い浮かべてランプの魔人の質問に答えていくと、誰を思い浮かべているのか当ててくれます。マイナーなキャラクターでもそこそこ当たるので面白いです。,true,2021-01-18 15:23:00
5,26,いろんな資格の難易度が掲載されています。次はどんな資格を取ろうかな〜とか、自分の取れそうな資格はあるかな〜って眺めてます,true,2021-01-19 15:51:00
6,27,写真に対して一言を投稿して、面白さを競うアプリです。おもわずクスリとしちゃう一言や、着眼点に感心してしまう一言など、数々の秀逸な一言を是非ご覧ください。,true,2021-01-20 15:28:00
7,28,商品価格を比較できるサイトです。家電やパソコンを買う時にはこのサイトで調査してから買うようにしてます,true,2021-01-21 15:45:00
8,29,PCソフトがたくさん掲載されています。フリーソフトも大量に掲載されているので、便利なソフトがあれば導入してみるのもいいかもしれません。私はこのサイトに掲載されている「フロントライン」っていうゲームが好きで昔よくやっていましたよ。,true,2021-01-22 15:31:00
